model_id,attack_id,lambda,risk,risk_lower,risk_upper,aurc,delta_r,lambda_star,n_prompts
tulu3-8b-base,gcg,0,0.0,0.0,0.0,6.6850000000000005,0.97,3,100
tulu3-8b-base,gcg,1,0.16,0.10000000149011612,0.23999999463558197,6.6850000000000005,0.97,3,100
tulu3-8b-base,gcg,3,0.61,0.5099999904632568,0.699999988079071,6.6850000000000005,0.97,3,100
tulu3-8b-base,gcg,5,0.8,0.7200000286102295,0.8799999952316284,6.6850000000000005,0.97,3,100
tulu3-8b-base,gcg,10,0.97,0.9300000071525574,1.0,6.6850000000000005,0.97,3,100
tulu3-8b-base,jailbroken,0,0.0,0.0,0.0,8.454999999999998,0.96,1,100
tulu3-8b-base,jailbroken,1,0.58,0.47999998927116394,0.6700000166893005,8.454999999999998,0.96,1,100
tulu3-8b-base,jailbroken,3,0.93,0.8700000047683716,0.9800000190734863,8.454999999999998,0.96,1,100
tulu3-8b-base,jailbroken,5,0.95,0.8999999761581421,0.9900000095367432,8.454999999999998,0.96,1,100
tulu3-8b-base,jailbroken,10,0.96,0.9200000166893005,0.9900000095367432,8.454999999999998,0.96,1,100
tulu3-8b-base,pair,0,0.0,0.0,0.0,7.17,0.94,3,100
tulu3-8b-base,pair,1,0.2,0.12999999523162842,0.2800000011920929,7.17,0.94,3,100
tulu3-8b-base,pair,3,0.72,0.6299999952316284,0.810250002145767,7.17,0.94,3,100
tulu3-8b-base,pair,5,0.88,0.8199999928474426,0.9399999976158142,7.17,0.94,3,100
tulu3-8b-base,pair,10,0.94,0.8899999856948853,0.9800000190734863,7.17,0.94,3,100
tulu3-8b-dpo,gcg,0,0.0,0.0,0.0,3.9799999999999995,0.74,10,100
tulu3-8b-dpo,gcg,1,0.06,0.019999999552965164,0.10999999940395355,3.9799999999999995,0.74,10,100
tulu3-8b-dpo,gcg,3,0.25,0.17000000178813934,0.3400000035762787,3.9799999999999995,0.74,10,100
tulu3-8b-dpo,gcg,5,0.44,0.3499999940395355,0.5400000214576721,3.9799999999999995,0.74,10,100
tulu3-8b-dpo,gcg,10,0.74,0.6600000262260437,0.8199999928474426,3.9799999999999995,0.74,10,100
tulu3-8b-dpo,jailbroken,0,0.0,0.0,0.0,5.415,0.78,5,100
tulu3-8b-dpo,jailbroken,1,0.15,0.07999999821186066,0.2199999988079071,5.415,0.78,5,100
tulu3-8b-dpo,jailbroken,3,0.43,0.33000001311302185,0.5199999809265137,5.415,0.78,5,100
tulu3-8b-dpo,jailbroken,5,0.68,0.5899999737739563,0.7602499902248381,5.415,0.78,5,100
tulu3-8b-dpo,jailbroken,10,0.78,0.6899999976158142,0.8600000143051147,5.415,0.78,5,100
tulu3-8b-dpo,pair,0,0.0,0.0,0.0,5.785,0.92,5,100
tulu3-8b-dpo,pair,1,0.03,0.0,0.06024999869987346,5.785,0.92,5,100
tulu3-8b-dpo,pair,3,0.46,0.3700000047683716,0.5600000023841858,5.785,0.92,5,100
tulu3-8b-dpo,pair,5,0.72,0.6299999952316284,0.8100000023841858,5.785,0.92,5,100
tulu3-8b-dpo,pair,10,0.92,0.8600000143051147,0.9700000286102295,5.785,0.92,5,100
tulu3-8b-sft,gcg,0,0.0,0.0,0.0,1.7650000000000001,0.38,,100
tulu3-8b-sft,gcg,1,0.03,0.0,0.07000000029802322,1.7650000000000001,0.38,,100
tulu3-8b-sft,gcg,3,0.07,0.029999999329447746,0.11999999731779099,1.7650000000000001,0.38,,100
tulu3-8b-sft,gcg,5,0.18,0.10999999940395355,0.2502499997615812,1.7650000000000001,0.38,,100
tulu3-8b-sft,gcg,10,0.38,0.2800000011920929,0.4699999988079071,1.7650000000000001,0.38,,100
tulu3-8b-sft,jailbroken,0,0.0,0.0,0.0,3.5599999999999996,0.54,10,100
tulu3-8b-sft,jailbroken,1,0.03,0.0,0.05999999865889549,3.5599999999999996,0.54,10,100
tulu3-8b-sft,jailbroken,3,0.33,0.23974999487400056,0.4202499873936174,3.5599999999999996,0.54,10,100
tulu3-8b-sft,jailbroken,5,0.43,0.33000001311302185,0.5199999809265137,3.5599999999999996,0.54,10,100
tulu3-8b-sft,jailbroken,10,0.54,0.4399999976158142,0.6299999952316284,3.5599999999999996,0.54,10,100
tulu3-8b-sft,pair,0,0.0,0.0,0.0,3.955,0.66,10,100
tulu3-8b-sft,pair,1,0.02,0.0,0.05000000074505806,3.955,0.66,10,100
tulu3-8b-sft,pair,3,0.28,0.1899999976158142,0.3700000047683716,3.955,0.66,10,100
tulu3-8b-sft,pair,5,0.49,0.38999998569488525,0.5899999737739563,3.955,0.66,10,100
tulu3-8b-sft,pair,10,0.66,0.5600000023841858,0.75,3.955,0.66,10,100
